As a Data user, I want to have the 12-19-2017 deletions processed, so that outdated records are removed from the database.
As a Developer, I want to be able to log better, so that I can troubleshoot issues effectively.
As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that submission history is accurately tracked.
As a DevOps engineer, I want New Relic to provide useful data across all applications, so that monitoring and performance insights are centralized.
As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213, so that validations stay current with schema changes.
As a Developer, I want to add the GTAS window data to the database, so that submission periods can be managed and locked appropriately.
As a Developer, I want D Files generation requests to be managed and cached, so that duplicate generations are avoided and performance is improved.
As a user, I want to access the raw agency published files from FABS via USAspending, so that I can retrieve and review published data directly.
As an Agency user, I want to be able to include a large number of flexfields without performance impact, so that complex submissions process efficiently.
As a Broker user, I want to help create content mockups, so that UI and data submission previews are generated quickly.
As a UI designer, I want to track the issues that come up in Tech Thursday, so that testing feedback is logged and addressed systematically.
As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that duplicate publications are avoided.
As a data user, I want to receive updates to FABS records, so that the database remains current with new changes.
As a Developer, I want to update the FABS sample file to remove FundingAgencyCode, so that samples align with updated schema requirements.
As an agency user, I want to ensure that deleted FSRS records are not included in submissions, so that only valid data is processed.
As a website user, I want to see updated financial assistance data daily, so that public views reflect the latest information.
As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that accidental republishing is prevented during processing.
As a Developer, I want to ensure that attempts to correct or delete non-existent records don't create new published data, so that data integrity is maintained.
As an Owner, I want to reset the environment to only take Staging MAX permissions, so that testing access is controlled securely.
As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element, so that full context is provided for troubleshooting.
As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict, so that derived fields support proper reporting.
As an agency user, I want the FABS validation rules to accept zero and blank for loan records, so that loan-specific data entry is flexible.
As an agency user, I want FABS deployed into production, so that live submissions can be handled reliably.
As a Developer, I want to clarify to users what exactly is triggering the CFDA error code in each case, so that error messages are more actionable.
As an agency user, I want to be confident that the data coming from SAM is complete, so that submissions meet compliance standards.
As a Developer, I want my domain models to be indexed properly, so that database queries perform efficiently during validations.
As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records, so that non-loan data validation is consistent.
As a broker team member, I want to make some updates to the SQL codes for clarity, so that database operations are easier to maintain.
As an agency user, I want to have all derived data elements derived properly, so that submissions include complete and accurate derived fields.
As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic, so that special ZIP codes are handled correctly.
As a data user, I want to see the office names derived from office codes, so that reporting includes human-readable names.
As a broker user, I want the historical FABS loader to derive fields, so that legacy data is enriched for current use.
As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that agency codes are properly derived in historical loads.
As a user, I don't want to see NASA grants displayed as contracts, so that award types are classified accurately.
As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, so that valid updates are not rejected.
As a broker team member, I want to derive FundingAgencyCode, so that funding details are automatically populated for data quality.
As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1, so that uploads comply with the latest schema.
As an agency user, I want to use the schema v1.1 headers in my FABS file, so that files align with current standards.
As a agency user, I want to map the FederalActionObligation properly to the Atom Feed, so that obligations are correctly exported to feeds.
As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations, so that ZIP validation is consistent across fields.
As a FABS user, I want to link the SAMPLE FILE on the "What you want to submit" dialog to point to the correct file, so that users can download the right template.
As an Agency user, I want FPDS data to be up-to-date daily, so that integrated feeds reflect current contract information.
As a Developer, I want to determine how agencies will generate and validate D Files from FABS and FPDS data, so that D File workflows are streamlined.
As a user, I want to generate and validate D Files from FABS and FPDS data, so that synced files are ready for downstream processing.
As an Agency user, I want the header information box to show updated date AND time, so that submission timestamps are fully visible.
As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension, so that upload issues are clearly explained.
As a tester, I want to have access to test features in environments other than Staging, so that testing can occur across deployments.
As a FABS user, I want submission errors to accurately represent FABS errors, so that troubleshooting focuses on relevant issues.
As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that navigation is intuitive.
As an Agency user, I want all historical Financial Assistance data loaded for FABS go-live, so that the system starts with complete baseline data.
As a Developer, I want the historical FPDS data loader to include both extracted historical data and FPDS feed data, so that loads cover all sources comprehensively.
As an Agency user, I want historical FPDS data loaded, so that legacy contract data is available for integration.
As an Agency user, I want to accurately see who created a submission, so that accountability and audit trails are maintained.
As an agency user, I want to get File F in the correct format, so that exports meet downstream format requirements.
As an Agency user, I want to better understand my file-level errors, so that corrections can be made efficiently.
As a Developer, I want to provide FABS groups that function under the FREC paradigm, so that reporting groups align with federal requirements.
As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check, so that derivations are verified reliably.
As an owner, I only want zero-padded fields, so that data consistency and formatting standards are enforced.
As a Broker user, I want to submit records for individual recipients without receiving a DUNS error, so that individual awards can be processed without barriers.
As a user, I want more information about how many rows will be published prior to deciding whether to publish, so that informed decisions can be made.
As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision, so that data duplicates are minimized.
As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations, so that special location types are supported.
As a Broker user, I want to have updated error codes that accurately reflect the logic, so that errors guide users precisely.
As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that 5-digit ZIPs are accepted flexibly.
As a FABS user, I want to make sure the historical data includes all necessary columns, so that loads support full functionality.
As a data user, I want to access two additional fields from the FPDS data pull, so that richer contract details are available.
As a FABS user, I want additional helpful info in the submission dashboard, so that monitoring submissions is easier.
As a FABS user, I want to download the uploaded FABS file, so that I can review or backup my data.
As a Developer I want to quickly access Broker application data, so that investigations and debugging are faster.
As a Developer, I want to determine the best way to load historical FPDS data since 2007, so that long-term data integration is optimized.
As a FABS user, I want the language on FABS pages to be appropriate for me, so that the interface is user-friendly.
As a FABS user, I do not want DABS banner messages and vice versa, so that banners are app-specific and relevant.
As a FABS user, I want to have read-only access to DABS, so that cross-app visibility is limited appropriately.
As a FABS user, I want to have my validations run in a reasonable amount of time, so that feedback is prompt during submissions.
As a FABS user, I want to see correct status labels on the Submission Dashboard, so that status tracking is clear.
As an agency user, I want to know when the submission periods start and end, so that deadlines can be met.
As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that app selection is straightforward.
As an agency user, I want to submit my data elements surrounded by quotation marks, so that leading zeros and special characters are preserved.
As a Broker user, I want to Upload and Validate the error message to have accurate text, so that upload feedback is precise.
As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that files are generated only with updated data.
As a Website user, I want to access published FABS files, so that public or integrated access to submissions is enabled.
As an owner, I want to be sure that USAspending only send grant records to my system, so that irrelevant data is filtered out.
As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date, so that historical actions remain valid.
