index,token,logprob,probability,cumulative_logprob
1, The,-0.23479465,0.7907332100224898,-0.23479465
2, task,-0.14478272,0.8652102655751774,-0.37957737
3, is,-0.0032007676,0.9968043493957207,-0.3827781376
4, to,-0.0010405132,0.9989600279461535,-0.3838186508
5, write,-0.002017607,0.9979844270008351,-0.38583625779999997
6, Python,-1.8238856e-05,0.9999817613103269,-0.38585449665599997
7, code,-1.668916e-05,0.9999833109792633,-0.385871185816
8, implementing,-0.0048926394,0.9951193100640665,-0.390763825216
9, the,-0.4490596,0.6382280591678758,-0.839823425216
10, provided,-4.7375393,0.00876017585030142,-5.577362725216
11, user,-2.3007127e-05,0.9999769931376619,-5.577385732343
12, stories,-6.3180723e-06,0.999993681947659,-5.5773920504153
13,.,-0.0016894366,0.9983119896946882,-5.5790814870153005
14, Each,-0.074019685,0.9286534131189225,-5.6531011720153
15, function,-0.07104729,0.9314178443362316,-5.7241484620153
16, must,-0.0012586537,0.9987421380723444,-5.7254071157153
17, contain,-0.22552414,0.7980977941345971,-5.9509312557153
18, actual,-0.00035529977,0.9996447633414886,-5.9512865554853
19, logic,-1.4305105e-06,0.9999985694905231,-5.9512879859958
20,",",-0.0031499076,0.9968550481541895,-5.9544378935958004
21, not,-0.020673743,0.9795384937326619,-5.9751116365958
22, ',-0.40198556,0.6689904058420606,-6.3770971965958
23,pass,-2.3841855e-07,0.9999997615814784,-6.37709743501435
24,',-0.00011050091,0.9998895051950006,-6.37720793592435
25, or,-2.264974e-06,0.999997735028565,-6.37721020089835
26, ',-0.032182448,0.9683298961088015,-6.409392648898351
27,print,-2.264974e-06,0.999997735028565,-6.409394913872351
28,'.,-0.03901949,0.9617319648077096,-6.448414403872351
29, I,-0.91879237,0.39900059534526133,-7.3672067738723515
30, need,-0.0039405567,0.9960671971054393,-7.371147330572351
31, to,-9.536698e-06,0.9999904633474742,-7.371156867270352
32, make,-0.22759539,0.7964464448474692,-7.598752257270352
33, reasonable,-0.0036203812,0.9963861644783504,-7.602372638470352
34, assumptions,-1.6689287e-06,0.9999983310726926,-7.602374307399052
35, and,-0.4483708,0.6386678220919947,-8.050745107399052
36, simulate,-0.00034421717,0.9996558420659332,-8.051089324569052
37, realistic,-3.81469e-06,0.999996185317276,-8.051093139259052
38, behavior,-3.623897e-05,0.9999637616866235,-8.051129378229053
39,".

",-1.0397375,0.3535474759914783,-9.090866878229052
40,There,-0.6207711,0.5375297885273388,-9.711637978229053
41, are,-5.19739e-05,0.9999480274506197,-9.711689952129053
42, many,-0.0010951719,0.9989054275818801,-9.712785124029052
43, user,-5.5907592e-05,0.9999440939708003,-9.712841031621052
44, stories,-1.6689287e-06,0.9999983310726926,-9.712842700549752
45,",",-0.15271737,0.8583722892914781,-9.865560070549751
46, covering,-4.007696,0.018175222746214352,-13.87325607054975
47, different,-1.6628182,0.18960388478476434,-15.53607427054975
48, roles,-0.004017735,0.9959903252989368,-15.54009200554975
49, like,-0.015040682,0.9850718640943171,-15.55513268754975
50, Data,-0.051745884,0.9495701371512407,-15.606878571549752
51, user,-0.009806434,0.9902414922839771,-15.616685005549751
52,",",-2.3841855e-07,0.9999997615814784,-15.616685243968302
53, UI,-5.9604467e-06,0.9999940395710635,-15.616691204415002
54, designer,-2.1099822e-05,0.9999789004005997,-15.616712304237002
55,",",-5.960463e-07,0.9999994039538777,-15.616712900283302
56, Developer,-0.0063162227,0.9937036827035611,-15.623029122983302
57,",",-3.3378547e-06,0.9999966621508707,-15.623032460838003
58, Broker,-2.8206518,0.0595671042143221,-18.443684260838
59, user,-3.6834994e-05,0.9999631656844,-18.443721095832
60,",",-1.2278481e-05,0.9999877215943802,-18.443733374313002
61, etc,-0.06455456,0.937484963687056,-18.508287934313003
62,.,-0.0069790166,0.9930452801809483,-18.515266950913002
63, Implementing,-3.9098759,0.020042988242192132,-22.425142850913
64, all,-0.029930685,0.9705128023120063,-22.455073535913
65, directly,-2.1984797,0.11097174051924821,-24.653553235913
66, is,-3.8396893,0.021500280444572216,-28.493242535913
67, impossible,-0.51079226,0.6000200185935404,-29.004034795913
68, in,-2.3445888,0.09588662260430869,-31.348623595913
69, one,-0.27916804,0.7564127849304885,-31.627791635913
70, code,-1.9398072,0.14373165857026185,-33.567598835912996
71,.,-1.1096319,0.32968029405872645,-34.67723073591299
72, I,-0.075470075,0.9273074797951313,-34.75270081091299
73, need,-0.15646508,0.8551613794168905,-34.90916589091299
74, to,-0.0017842816,0.9982173092840783,-34.91095017251299
75, interpret,-2.1282663,0.11904350076757604,-37.03921647251299
76, this,-0.1641916,0.848579418486717,-37.20340807251299
77, as,-0.003320064,0.9966854413181272,-37.20672813651299
78, creating,-0.44713718,0.6394561816587699,-37.65386531651299
79, functions,-1.1695247,0.31051449373573525,-38.82339001651299
80, for,-2.4869928,0.08315966869058172,-41.31038281651299
81, each,-0.09453504,0.9097958548207461,-41.40491785651299
82, user,-0.15891738,0.8530668364396937,-41.563835236512986
83, story,-1.8358061e-05,0.9999816421075082,-41.563853594573985
84,'s,-4.056125,0.017315988734255678,-45.619978594573986
85, desired,-2.7059216,0.06680872454545468,-48.32590019457399
86, functionality,-0.061164927,0.9406680854164664,-48.38706512157399
87,".

",-0.018981129,0.9811978782532582,-48.406046250573986
88,The,-0.22110835,0.8016298189936816,-48.62715460057399
89, output,-0.08545937,0.9180904443111311,-48.71261397057399
90, should,-0.0018255726,0.9981760927441026,-48.71443954317399
91, be,-0.0006504327,0.9993497787854938,-48.71508997587399
92, only,-0.21948688,0.802930692074605,-48.934576855873985
93, valid,-0.00012885693,0.9998711513716976,-48.93470571280398
94, Python,-7.152555e-07,0.9999992847447557,-48.934706428059485
95, code,-8.344647e-07,0.9999991655356482,-48.934707262524185
96,",",-0.0039704787,0.9960373932286656,-48.93867774122418
97, no,-0.47512537,0.6218070956225685,-49.41380311122418
98, markdown,-0.030169101,0.9702814441125744,-49.44397221222418
99, or,-0.0024239225,0.9975790128279949,-49.44639613472418
100, explanations,-6.4372807e-06,0.9999935627400193,-49.446402572004885
101,".

",-0.03812381,0.9625937547803562,-49.48452638200489
102,I,-0.02908773,0.971331245838347,-49.51361411200489
103, need,-1.3059217,0.2709227104693904,-50.81953581200489
104, to,-0.0004430028,0.999557095311252,-50.819978814804884
105, structure,-1.8475785,0.15761837747699767,-52.66755731480488
106, the,-2.053207,0.12832271205439919,-54.72076431480488
107, code,-0.0014360364,0.9985649942068824,-54.72220035120488
108, as,-0.36429423,0.6946867669825462,-55.08649458120488
109, a,-0.061405882,0.9404414540430227,-55.147900463204884
110, series,-0.6467743,0.5237324587256074,-55.79467476320488
111, of,-2.527205e-05,0.9999747282693355,-55.794700035254884
112, functions,-0.15498438,0.8564285547931624,-55.949684415254886
113,",",-0.033805862,0.9667591711122816,-55.98349027725489
114, each,-0.025409915,0.9749101997953605,-56.008900192254885
115, corresponding,-0.27335122,0.7608255235570542,-56.28225141225489
116, to,-9.7751135e-06,0.9999902249342763,-56.282261187368384
117, a,-0.006424962,0.9935956339353768,-56.28868614936838
118, user,-0.0009093917,0.999091021671317,-56.28959554106838
119, story,-1.9073304e-05,0.9999809268778943,-56.28961461437238
120,".

",-0.396163,0.6728970047860203,-56.685777614372384
121,For,-0.8761946,0.41636433363685915,-57.56197221437238
122, example,-0.4088474,0.6644156144093256,-57.97081961437238
123,",",-0.100295655,0.9045699378720025,-58.07111526937238
124, for,-0.13525334,0.8734945925346482,-58.206368609372376
125," """,-0.14742306,0.8629288295114161,-58.35379166937238
126,As,-0.00014292172,0.9998570884928225,-58.353934591092376
127, a,-7.510157e-06,0.9999924898712012,-58.35394210124937
128, Data,-0.0071403557,0.9928850760731255,-58.361082456949376
129, user,-2.264974e-06,0.999997735028565,-58.361084721923376
130,",",-3.576278e-07,0.9999996423722639,-58.361085079551174
131, I,-9.5367386e-07,0.9999990463265948,-58.361086033225035
132, want,-3.933899e-06,0.9999960661087378,-58.36108996712404
133, to,-1.4662635e-05,0.999985337472496,-58.36110462975904
134, have,-5.805324e-05,0.9999419484450567,-58.36116268299904
