index,token,logprob,probability,cumulative_logprob
1,```,-0.010861562564969063,0.9891972112215229,-0.010861562564969063
2,python,-4.768370445162873e-07,0.9999995231630692,-0.010862039402013579
3,"
",-5.960462772236497e-07,0.9999994039539004,-0.010862635448290803
4,import,-0.22955529391765594,0.7948870150055143,-0.24041792936594675
5, os,-1.8519353866577148,0.15693314589327792,-2.0923533160236616
6,"
",-0.00024816294899210334,0.9997518678408855,-2.0926014789726537
7,import,-0.008618185296654701,0.9914188448084588,-2.1012196642693084
8, logging,-0.6352439522743225,0.5298062251176161,-2.736463616543631
9,"
",-0.0001971527235582471,0.9998028667097628,-2.736660769267189
10,from,-0.1269288957118988,0.8807962987644219,-2.863589664979088
11, datetime,-0.04096167907118797,0.9598659121963198,-2.904551344050276
12, import,0.0,1.0,-2.904551344050276
13, datetime,-9.536697689327411e-06,0.9999904633477849,-2.9045608807479653
14,"
",-0.5789716243743896,0.5604744485619688,-3.483532505122355
15,from,-0.002476959954947233,0.9975261051791016,-3.486009465077302
16, typing,-0.025790920481085777,0.9745388244181917,-3.511800385558388
17, import,-1.1920928244535389e-07,0.9999998807907247,-3.5118005047676704
18, Dict,-0.8288911581039429,0.43653306420597976,-4.340691662871613
19,",",-3.862306402879767e-05,0.9999613776818321,-4.340730285935642
20, List,-0.019541483372449875,0.9806482137497771,-4.360271769308092
21,",",-0.010812741704285145,0.9892455058596442,-4.371084511012377
22, Optional,-0.08398088067770004,0.919448835165692,-4.455065391690077
23,"

",-3.2638118267059326,0.0382423466349153,-7.71887721839601
24,#,-0.03836590051651001,0.9623607481665559,-7.75724311891252
25, Initialize,-2.5546884536743164,0.07771644056757594,-10.311931572586836
26, logger,-1.064491629600525,0.34490314875782113,-11.376423202187361
27,"
",-0.06921422481536865,0.9331267597571951,-11.44563742700273
28,logger,-2.9301369190216064,0.05338972757546701,-14.375774346024336
29, =,-9.536697689327411e-06,0.9999904633477849,-14.375783882722025
30, logging,-2.3841855067985307e-07,0.9999997615814777,-14.375784121140576
31,.getLogger,-0.00026294111739844084,0.9997370934485875,-14.376047062257975
32,(__,-0.06364555656909943,0.9383375281687795,-14.439692618827074
33,name,-2.8013790142722428e-05,0.9999719866022398,-14.439720632617217
34,"__)
",-0.11313580721616745,0.8930293720473309,-14.552856439833384
35,logging,-0.08448078483343124,0.9189893137399154,-14.637337224666815
36,.basicConfig,0.0,1.0,-14.637337224666815
37,(level,-0.004809834063053131,0.9952017146655621,-14.642147058729869
38,=logging,-4.768370445162873e-07,0.9999995231630692,-14.642147535566913
39,.INFO,-0.0015238827327266335,0.9984772777869914,-14.64367141829964
40,")

",-0.05901902914047241,0.942688830428245,-14.702690447440112
41,#,-1.70389986038208,0.18197247121940446,-16.406590307822192
42, Mock,-0.4135619103908539,0.6612905923540409,-16.820152218213046
43, classes,-1.4646663665771484,0.23115509968079412,-18.284818584790195
44, for,-1.3490239381790161,0.2594934186956248,-19.63384252296921
45, demonstration,-0.9485706090927124,0.3872942228317926,-20.582413132061923
46, purposes,-0.6067354679107666,0.5451275538666956,-21.18914859997269
47,"
",-0.049986377358436584,0.9512423828464718,-21.239134977331126
