As a Data user, I want to process deletions from 12-19-2017, so that outdated records are removed accurately.
As a Developer, I want to log submission updates better, so that troubleshooting submissions is easier.
As a Developer, I want to update FABS submission when publishStatus changes, so that submission status is maintained correctly.
As a DevOps engineer, I want to collect New Relic data, so that application monitoring is enhanced.
As a Developer, I want to add GTAS window data to lock down the site, so that submissions are restricted during specific periods.
As a Developer, I want to manage and cache D Files generation to avoid duplicates, so that processing efficiency is improved.
As a Developer, I want to load historical FABS data with derivations, so that historical records are enriched for analysis.
As a Developer, I want to update validation rule table for DB-2213, so that validation logic remains current.
As a Developer, I want to prevent double publishing after refresh, so that data integrity is preserved.
As an Agency user, I want to handle FABS submission with validations, so that files are processed and errors are identified.
As a user, I want to generate and validate D File from FABS and FPDS synced with load, so that combined data files are accurate and up-to-date.
As a Website user, I want to access published FABS files, so that approved data is retrievable.
As an owner, I want to ensure USAspending only sends grant records, so that only relevant financial assistance data is transmitted.
As a Developer, I want to update FABS sample file to remove FundingAgencyCode header, so that sample files align with schema requirements.
As a Developer, I want to ensure corrections/deletes on non-existent records don't create new data, so that invalid operations are prevented.
As an Owner, I want to reset environment to Staging MAX permissions, so that testing access is properly controlled.
As a user, I want to include flexfields in warning/error files for missing required elements, so that error reporting is comprehensive.
As a user, I want to ensure accurate PPoPCode and PPoPCongressionalDistrict, so that place of performance data is derived correctly.
As an Agency user, I want to deploy FABS to production, so that the system is live and operational.
As a Developer, I want to clarify CFDA error triggers, so that error messages are understandable and actionable.
As an agency user, I want to ensure SAM data completeness, so that entity registrations are validated fully.
As a Developer, I want to index models for faster validation, so that performance during submissions is optimized.
As a broker team member, I want to update SQL for clarity, so that database queries are maintainable.
As a broker team member, I want to add 00***** and 00FORGN to PPoPCode derivation, so that special place of performance cases are handled.
As a data user, I want to derive office names, so that coded office data is human-readable.
As a Developer, I want to load historical FABS with FREC derivations, so that legacy data includes financial reporting entity codes.
As a user, I want to prevent displaying NASA grants as contracts, so that award types are accurately represented in views.
As a user, I want to update DUNS validations for expired SAM, so that expired registrations are accepted where appropriate.
As a broker team member, I want to derive FundingAgencyCode, so that agency identifiers are automatically populated.
As an agency user, I want to update max length for LegalEntityAddressLine3 to schema v1.1 (100 chars), so that address data complies with standards.
As an agency user, I want to map FederalActionObligation to Atom Feed, so that obligation values are properly formatted for feeds.
As a Broker user, I want to make PPoPZIP+4 work like Legal Entity ZIP, so that ZIP code validation is consistent across fields.
As a FABS user, I want to link SAMPLE FILE to correct file, so that example files are easily accessible.
As an Agency user, I want to ensure FPDS data up-to-date daily, so that contract data remains current.
As a Developer, I want to determine how agencies generate D Files, so that generation processes are documented and efficient.
