As a Data user, I want to have the 12-19-2017 deletions processed, so that outdated records are removed from the system.
As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213, so that validation rules reflect the latest requirements.
As a Developer, I want to add the GTAS window data to the database, so that the system has accurate date ranges for submissions.
As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that duplicate publications are avoided.
As a UI designer, I want to redesign the Resources page, so that the interface matches updated design standards.
As a UI designer, I want to move on to round 2 of various page edits, so that continuous improvements can be made to the user interface.
As a UI designer, I want to begin user testing, so that feedback can be collected to improve usability.
As a UI designer, I want to track issues from Tech Thursday, so that development priorities are aligned with stakeholder concerns.
As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations, so that my submission meets required formatting standards.
As an Agency user, I want to submit my data elements surrounded by quotation marks, so that data integrity is maintained during import.
As a FABS user, I want to have read-only access to DABS, so that I can view data without making changes.
As a Developer, I want to determine how agencies will generate and validate D Files from FABS and FPDS data, so that integration between systems works correctly.
As a Website user, I want to access published FABS files, so that I can retrieve submitted data for analysis.
As an Owner, I want to design a schedule from the UI SME, so that UI improvements are implemented systematically.
As a user, I want the publish button to deactivate after clicking, so that accidental multiple submissions are prevented.
As a user, I want to access raw agency published files from FABS, so that I can download original submission data.
As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1, so that data conforms to current specifications.
As a developer, I want to ensure attempts to correct or delete non-existent records don't create new published data, so that data integrity is preserved.
As a user, I want more information about rows to be published, so that I understand what data will be included in the publication.
As an agency user, I want to leave off the last 4 digits of the ZIP without error, so that flexible ZIP code entry is supported.
As a Broker user, I want the historical FABS loader to derive fields, so that missing data is automatically populated.
As a user, I want to see updated financial assistance data daily, so that I have access to the most recent information.
As a Broker user, I want to upload and validate error messages with accurate text, so that users receive clear guidance when submissions fail validation.
