index,token,logprob,probability,cumulative_logprob
1,```,-0.04700401797890663,0.954083564095034,-0.04700401797890663
2,python,-1.1920928244535389e-07,0.9999998807907247,-0.04700413718818908
3,"
",-1.1920928244535389e-07,0.9999998807907247,-0.04700425639747152
4,import,-0.08677282929420471,0.9168853614710066,-0.13377708569167623
5, os,-0.6336652040481567,0.530643316360022,-0.767442289739833
6,"
",-7.414542778860778e-05,0.9999258573209157,-0.7675164351676216
7,import,-0.011049510911107063,0.9890113107120635,-0.7785659460787286
8, json,-0.543235719203949,0.5808656900268016,-1.3218016652826776
9,"
",-6.6756979322235566e-06,0.9999933243243502,-1.3218083409806098
10,import,-0.023245912045240402,0.9770221927036008,-1.3450542530258502
11, logging,-0.41322752833366394,0.6615117530367339,-1.7582817813595142
12,"
",-3.6000557884108275e-05,0.9999640000901282,-1.7583177819173983
13,from,-0.1269294172525406,0.8807958393934747,-1.8852471991699389
14, datetime,-0.13348616659641266,0.8750395736694694,-2.0187333657663515
15, import,0.0,1.0,-2.0187333657663515
16, datetime,-5.364403477869928e-06,0.9999946356109105,-2.0187387301698294
17,"
",-1.0538419485092163,0.34859588563338845,-3.0725806786790457
18,from,-0.0003358753747306764,0.9996641810250884,-3.0729165540537764
19, typing,-0.0946466326713562,0.9096943339355167,-3.1675631867251326
20, import,0.0,1.0,-3.1675631867251326
21, Dict,-0.19008508324623108,0.8268887765689054,-3.3576482699713637
22,",",-2.3841830625315197e-06,0.9999976158197796,-3.357650654154426
23, List,-0.006997010204941034,0.9930274118772463,-3.3646476643593672
24,",",-6.711257447022945e-05,0.9999328896775282,-3.3647147769338375
25, Optional,-0.10430536419153214,0.900950137501001,-3.4690201411253696
26,",",-0.03372472524642944,0.9668376139951675,-3.502744866371799
27, Any,-0.07031998038291931,0.9320955199020431,-3.5730648467547184
28,"
",-0.28306612372398376,0.7534699639725372,-3.856130970478702
29,from,-0.018152302131056786,0.9820114585305271,-3.874283272609759
30, collections,-5.062889099121094,0.006327253019867526,-8.937172371730853
31, import,-2.0265558760002023e-06,0.9999979734461775,-8.937174398286729
32, defaultdict,-0.0011152960360050201,0.9988853256754667,-8.938289694322734
33,"

",-2.031137228012085,0.13118624760997377,-10.969426922334819
34,#,-0.12025508284568787,0.8866942273805482,-11.089682005180507
35, Configuration,-2.0327162742614746,0.13097926192070986,-13.122398279441981
36,"
",-0.9180757999420166,0.3992866096874218,-14.040474079383998
37,LOG,-0.8723142147064209,0.4179831264124821,-14.912788294090419
38,_LEVEL,-0.17462261021137238,0.8397738830633739,-15.087410904301791
39, =,-0.0001003691868390888,0.9998996358499792,-15.08751127348863
40, logging,-0.005845712497830391,0.9941713404344459,-15.09335698598646
41,.INFO,-0.0052368370816111565,0.9947768512447628,-15.098593823068072
42,"
",-0.07958971709012985,0.9234951629530477,-15.178183540158201
43,DB,-4.676981449127197,0.009307065378659898,-19.8551649892854
44,_CONFIG,-0.6763409376144409,0.5084741311675456,-20.53150592689984
45, =,-0.00612560473382473,0.9938931185329016,-20.537631531633664
46," {
",-0.03587401285767555,0.9647618334131435,-20.57350554449134
47,   ,-7.509902934543788e-05,0.9999249037905161,-20.573580643520685
48, ',-0.25193968415260315,0.7772916196577947,-20.82552032767329
49,host,-0.014929469674825668,0.9851814223187865,-20.840449797348114
50,':,-4.2914423829643056e-05,0.9999570864969811,-20.840492711771944
51, ',-0.029790684580802917,0.9706486840226924,-20.870283396352747
52,localhost,-0.003869072301313281,0.9961384029150979,-20.87415246865406
53,"',
",-0.0001250427303602919,0.9998749650871561,-20.87427751138442
54,   ,0.0,1.0,-20.87427751138442
55, ',0.0,1.0,-20.87427751138442
56,port,-0.036611635237932205,0.9640504658857587,-20.910889146622353
57,':,-1.1920928244535389e-07,0.9999998807907247,-20.910889265831635
58, ,-0.0010332489619031549,0.9989672846560029,-20.911922514793538
59,5,-5.006777428206988e-06,0.9999949932351057,-20.911927521570966
60,4,-1.1920928244535389e-07,0.9999998807907247,-20.91192764078025
61,3,0.0,1.0,-20.91192764078025
62,2,-2.3841855067985307e-07,0.9999997615814777,-20.9119278791988
63,",
",-2.0503786799963564e-05,0.9999794964234012,-20.9119483829856
64,   ,-2.0265558760002023e-06,0.9999979734461775,-20.911950409541475
65, ',0.0,1.0,-20.911950409541475
66,name,-3.6289446353912354,0.026544183423464568,-24.54089504493271
67,':,-3.576278118089249e-07,0.9999996423722521,-24.540895402560523
